sample_idx,model_type,rel_l2,pde_residual
27,Data-Driven FNO,0.5183992385864258,14.081683158874512
28,PI-FNO,0.298345685005188,79.41548156738281
28,Data-Driven FNO,0.30131837725639343,135.2338409423828
29,PI-FNO,0.36026638746261597,84.4153060913086
29,Data-Driven FNO,0.3679654896259308,130.7581024169922
30,PI-FNO,0.7020033597946167,61.75572204589844
30,Data-Driven FNO,0.6404536962509155,83.80029296875
31,PI-FNO,0.2383362501859665,107.307373046875
31,Data-Driven FNO,0.2547307312488556,140.3157196044922
32,PI-FNO,0.28411656618118286,32.31601333618164
32,Data-Driven FNO,0.3448052704334259,61.431983947753906
33,PI-FNO,1.0248241424560547,4.445911407470703
33,Data-Driven FNO,1.028871774673462,7.24099588394165
34,PI-FNO,0.4757707417011261,21.964330673217773
34,Data-Driven FNO,0.4785901606082916,42.34706497192383
35,PI-FNO,0.408718466758728,34.921958923339844
35,Data-Driven FNO,0.38318201899528503,50.452510833740234
36,PI-FNO,0.3733568787574768,98.57173156738281
36,Data-Driven FNO,0.3409721255302429,140.16061401367188
37,PI-FNO,0.25231632590293884,46.49434280395508
37,Data-Driven FNO,0.2874685227870941,73.1104965209961
38,PI-FNO,0.5911637544631958,70.72998046875
38,Data-Driven FNO,0.5706653594970703,119.96788787841797
39,PI-FNO,0.33420029282569885,102.60340881347656
39,Data-Driven FNO,0.3127656877040863,155.4960479736328
40,PI-FNO,0.24129718542099,118.3962631225586
40,Data-Driven FNO,0.28592023253440857,217.62657165527344
41,PI-FNO,0.3754045069217682,42.736175537109375
41,Data-Driven FNO,0.3565319776535034,83.05696105957031
42,PI-FNO,0.556159496307373,5.855070114135742
42,Data-Driven FNO,0.5330857634544373,13.999773979187012
43,PI-FNO,0.2649085223674774,2.961250066757202
43,Data-Driven FNO,0.2855667471885681,5.235327243804932
44,PI-FNO,0.4926181137561798,44.8602409362793
44,Data-Driven FNO,0.48838934302330017,71.71395874023438
45,PI-FNO,0.49601033329963684,23.576980590820312
45,Data-Driven FNO,0.5304433703422546,39.51923751831055
46,PI-FNO,0.5097030997276306,20.524965286254883
46,Data-Driven FNO,0.49650776386260986,31.620132446289062
47,PI-FNO,0.6694671511650085,27.409740447998047
47,Data-Driven FNO,0.6321155428886414,36.58236312866211
48,PI-FNO,0.483985036611557,69.39114379882812
48,Data-Driven FNO,0.48111826181411743,107.38056182861328
49,PI-FNO,0.34508511424064636,73.78230285644531
49,Data-Driven FNO,0.37578046321868896,162.744873046875
50,PI-FNO,0.4761485159397125,44.883941650390625
50,Data-Driven FNO,0.4779455065727234,87.14368438720703
51,PI-FNO,0.548396646976471,58.64812088012695
51,Data-Driven FNO,0.5853680372238159,112.9131851196289
52,PI-FNO,0.41202884912490845,34.762664794921875
52,Data-Driven FNO,0.43386518955230713,57.90825653076172
53,PI-FNO,0.43749570846557617,13.150879859924316
53,Data-Driven FNO,0.4759466052055359,25.38923454284668
54,PI-FNO,0.6393174529075623,2.611237049102783
54,Data-Driven FNO,0.6580963134765625,7.196260452270508
55,PI-FNO,0.4737178683280945,47.940765380859375
55,Data-Driven FNO,0.5122589468955994,68.4813461303711
56,PI-FNO,0.2944428324699402,24.70073890686035
56,Data-Driven FNO,0.2804698646068573,49.920413970947266
57,PI-FNO,0.28931185603141785,102.35745239257812
57,Data-Driven FNO,0.3378787934780121,186.08250427246094
58,PI-FNO,0.5532742142677307,212.97581481933594
58,Data-Driven FNO,0.5896857380867004,409.1883850097656
59,PI-FNO,0.501976728439331,226.0428466796875
59,Data-Driven FNO,0.4601114094257355,261.567626953125
60,PI-FNO,0.46091240644454956,33.994789123535156
60,Data-Driven FNO,0.4981018006801605,85.39410400390625
61,PI-FNO,0.5871895551681519,60.008670806884766
61,Data-Driven FNO,0.5556526780128479,80.36729431152344
62,PI-FNO,0.3455883264541626,42.493621826171875
62,Data-Driven FNO,0.3649405539035797,70.31011199951172
63,PI-FNO,0.37525802850723267,15.577332496643066
63,Data-Driven FNO,0.43170779943466187,32.66123962402344
64,PI-FNO,0.41312673687934875,33.566436767578125
64,Data-Driven FNO,0.420325368642807,66.24007415771484
65,PI-FNO,0.24450787901878357,98.86751556396484
65,Data-Driven FNO,0.22618606686592102,155.38250732421875
66,PI-FNO,0.3306944966316223,111.24674224853516
66,Data-Driven FNO,0.3278063237667084,152.8795928955078
67,PI-FNO,0.5375880599021912,71.85649108886719
67,Data-Driven FNO,0.5257139801979065,140.33106994628906
68,PI-FNO,0.48705121874809265,14.077929496765137
68,Data-Driven FNO,0.518515408039093,26.283191680908203
69,PI-FNO,0.442349374294281,16.868675231933594
69,Data-Driven FNO,0.42776408791542053,33.04085159301758
70,PI-FNO,0.2143993377685547,20.858789443969727
70,Data-Driven FNO,0.2661546468734741,43.24209213256836
71,PI-FNO,0.23666353523731232,59.31766891479492
71,Data-Driven FNO,0.27162840962409973,118.41943359375
72,PI-FNO,0.4423963725566864,21.089088439941406
72,Data-Driven FNO,0.42246609926223755,42.60591125488281
73,PI-FNO,0.34098491072654724,41.32072830200195
73,Data-Driven FNO,0.3890642821788788,65.22998046875
74,PI-FNO,0.2815553545951843,28.111242294311523
74,Data-Driven FNO,0.3332826495170593,44.219757080078125
75,PI-FNO,0.27366700768470764,29.338623046875
75,Data-Driven FNO,0.30400022864341736,46.7120246887207
76,PI-FNO,0.6373551487922668,34.1710205078125
76,Data-Driven FNO,0.6322923898696899,56.278160095214844
77,PI-FNO,0.717647135257721,22.89423370361328
77,Data-Driven FNO,0.6802033185958862,25.045730590820312
78,PI-FNO,0.5846852660179138,35.89402770996094
78,Data-Driven FNO,0.5080825090408325,53.21491241455078
79,PI-FNO,0.7389208674430847,10.023872375488281
79,Data-Driven FNO,0.7848650217056274,17.110488891601562
80,PI-FNO,0.4415546655654907,67.26423645019531
80,Data-Driven FNO,0.4173111617565155,91.46501159667969
81,PI-FNO,0.38492655754089355,112.18255615234375
81,Data-Driven FNO,0.5120768547058105,170.47695922851562
82,PI-FNO,0.49858373403549194,53.831302642822266
82,Data-Driven FNO,0.5993901491165161,83.62952423095703
83,PI-FNO,0.3151678740978241,70.64456939697266
83,Data-Driven FNO,0.3567129075527191,126.44865417480469
84,PI-FNO,0.3019452393054962,38.0830078125
84,Data-Driven FNO,0.34271007776260376,54.468719482421875
85,PI-FNO,0.24915766716003418,38.525997161865234
85,Data-Driven FNO,0.31652703881263733,81.14606475830078
86,PI-FNO,1.0899139642715454,3.581239700317383
86,Data-Driven FNO,1.0657289028167725,4.938332557678223
87,PI-FNO,0.5982676148414612,49.29475784301758
87,Data-Driven FNO,0.6045578718185425,76.74052429199219
88,PI-FNO,0.5602641105651855,25.739337921142578
88,Data-Driven FNO,0.5851165056228638,60.10134506225586
89,PI-FNO,0.22241398692131042,47.080039978027344
89,Data-Driven FNO,0.25881248712539673,79.6007308959961
90,PI-FNO,0.6085427403450012,21.988401412963867
90,Data-Driven FNO,0.6370404958724976,49.43928146362305
91,PI-FNO,0.46749117970466614,109.8980941772461
91,Data-Driven FNO,0.4909861385822296,184.03216552734375
92,PI-FNO,0.46386730670928955,27.35842514038086
92,Data-Driven FNO,0.4387873113155365,52.42061233520508
